video_id,title,pose_name,trimester_safe,intensity,duration_minutes,description,youtube_url,thumbnail_url
v001,Breath-led Bridge,bridge,"[1, 2]",low,20,A low prenatal session focusing on bridge alignment and breath.,https://www.youtube.com/watch?v=_GFkKV9MCyk,https://img.youtube.com/vi/_GFkKV9MCyk/hqdefault.jpg
v002,Slow Mountain with props,mountain,"[1, 2, 3]",low,8,A low prenatal session focusing on mountain alignment and breath.,https://www.youtube.com/watch?v=tsLuz2i3ViQ,https://img.youtube.com/vi/tsLuz2i3ViQ/hqdefault.jpg
v003,Slow Bridge with props,bridge,"[1, 2]",low,10,A low prenatal session focusing on bridge alignment and breath.,https://www.youtube.com/watch?v=MhS0VEeuB5I,https://img.youtube.com/vi/MhS0VEeuB5I/hqdefault.jpg
v004,Breath-led Mountain,mountain,"[1, 2, 3]",low,15,A low prenatal session focusing on mountain alignment and breath.,https://www.youtube.com/watch?v=lEftxA0enXI,https://img.youtube.com/vi/lEftxA0enXI/hqdefault.jpg
v005,Gentle Cat Cow for stability,cat-cow,"[1, 2, 3]",low,18,A low prenatal session focusing on cat cow alignment and breath.,https://www.youtube.com/watch?v=IIeIf0CgHvE,https://img.youtube.com/vi/IIeIf0CgHvE/hqdefault.jpg
v006,Slow Downward Dog with props,downward-dog,"[1, 2, 3]",low,8,A low prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=IG2Oc0jE0xo,https://img.youtube.com/vi/IG2Oc0jE0xo/hqdefault.jpg
v007,Slow Warrior 1 with props,warrior-1,"[1, 2, 3]",low,18,A low prenatal session focusing on warrior 1 alignment and breath.,https://www.youtube.com/watch?v=2dDJbfzo2sc,https://img.youtube.com/vi/2dDJbfzo2sc/hqdefault.jpg
v008,Calm Downward Dog flow,downward-dog,"[1, 2, 3]",low,8,A low prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=wgLQdJXd_Yc,https://img.youtube.com/vi/wgLQdJXd_Yc/hqdefault.jpg
v009,Supported Supine Twist practice,supine-twist,"[1, 2]",low,15,A low prenatal session focusing on supine twist alignment and breath.,https://www.youtube.com/watch?v=4NwQKXpWN_A,https://img.youtube.com/vi/4NwQKXpWN_A/hqdefault.jpg
v010,Slow Child Pose with props,child-pose,"[1, 2, 3]",low,12,A low prenatal session focusing on child pose alignment and breath.,https://www.youtube.com/watch?v=_GFkKV9MCyk,https://img.youtube.com/vi/_GFkKV9MCyk/hqdefault.jpg
v011,Gentle Supine Twist for stability,supine-twist,"[1, 2]",low,18,A low prenatal session focusing on supine twist alignment and breath.,https://www.youtube.com/watch?v=tsLuz2i3ViQ,https://img.youtube.com/vi/tsLuz2i3ViQ/hqdefault.jpg
v012,Supported Pigeon practice,pigeon,"[1, 2, 3]",low,8,A low prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=MhS0VEeuB5I,https://img.youtube.com/vi/MhS0VEeuB5I/hqdefault.jpg
v013,Slow Supine Twist with props,supine-twist,"[1, 2]",low,8,A low prenatal session focusing on supine twist alignment and breath.,https://www.youtube.com/watch?v=lEftxA0enXI,https://img.youtube.com/vi/lEftxA0enXI/hqdefault.jpg
v014,Breath-led Pigeon,pigeon,"[1, 2, 3]",low,20,A low prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=IIeIf0CgHvE,https://img.youtube.com/vi/IIeIf0CgHvE/hqdefault.jpg
v015,Supported Supine Twist practice,supine-twist,"[1, 2]",medium,15,A medium prenatal session focusing on supine twist alignment and breath.,https://www.youtube.com/watch?v=IG2Oc0jE0xo,https://img.youtube.com/vi/IG2Oc0jE0xo/hqdefault.jpg
v016,Supported Pigeon practice,pigeon,"[1, 2, 3]",medium,12,A medium prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=2dDJbfzo2sc,https://img.youtube.com/vi/2dDJbfzo2sc/hqdefault.jpg
v017,Calm Warrior 1 flow,warrior-1,"[1, 2, 3]",low,8,A low prenatal session focusing on warrior 1 alignment and breath.,https://www.youtube.com/watch?v=wgLQdJXd_Yc,https://img.youtube.com/vi/wgLQdJXd_Yc/hqdefault.jpg
v018,Slow Pigeon with props,pigeon,"[1, 2, 3]",medium,15,A medium prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=4NwQKXpWN_A,https://img.youtube.com/vi/4NwQKXpWN_A/hqdefault.jpg
v019,Supported Bridge practice,bridge,"[1, 2]",medium,18,A medium prenatal session focusing on bridge alignment and breath.,https://www.youtube.com/watch?v=_GFkKV9MCyk,https://img.youtube.com/vi/_GFkKV9MCyk/hqdefault.jpg
v020,Slow Cat Cow with props,cat-cow,"[1, 2, 3]",low,15,A low prenatal session focusing on cat cow alignment and breath.,https://www.youtube.com/watch?v=tsLuz2i3ViQ,https://img.youtube.com/vi/tsLuz2i3ViQ/hqdefault.jpg
v021,Calm Child Pose flow,child-pose,"[1, 2, 3]",medium,15,A medium prenatal session focusing on child pose alignment and breath.,https://www.youtube.com/watch?v=MhS0VEeuB5I,https://img.youtube.com/vi/MhS0VEeuB5I/hqdefault.jpg
v022,Gentle Downward Dog for stability,downward-dog,"[1, 2, 3]",low,18,A low prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=lEftxA0enXI,https://img.youtube.com/vi/lEftxA0enXI/hqdefault.jpg
v023,Supported Pigeon practice,pigeon,"[1, 2, 3]",medium,20,A medium prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=IIeIf0CgHvE,https://img.youtube.com/vi/IIeIf0CgHvE/hqdefault.jpg
v024,Slow Bridge with props,bridge,"[1, 2]",medium,15,A medium prenatal session focusing on bridge alignment and breath.,https://www.youtube.com/watch?v=IG2Oc0jE0xo,https://img.youtube.com/vi/IG2Oc0jE0xo/hqdefault.jpg
v025,Supported Cat Cow practice,cat-cow,"[1, 2, 3]",low,15,A low prenatal session focusing on cat cow alignment and breath.,https://www.youtube.com/watch?v=2dDJbfzo2sc,https://img.youtube.com/vi/2dDJbfzo2sc/hqdefault.jpg
v026,Supported Cat Cow practice,cat-cow,"[1, 2, 3]",low,20,A low prenatal session focusing on cat cow alignment and breath.,https://www.youtube.com/watch?v=wgLQdJXd_Yc,https://img.youtube.com/vi/wgLQdJXd_Yc/hqdefault.jpg
v027,Supported Pigeon practice,pigeon,"[1, 2, 3]",medium,20,A medium prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=4NwQKXpWN_A,https://img.youtube.com/vi/4NwQKXpWN_A/hqdefault.jpg
v028,Gentle Downward Dog for stability,downward-dog,"[1, 2, 3]",medium,15,A medium prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=_GFkKV9MCyk,https://img.youtube.com/vi/_GFkKV9MCyk/hqdefault.jpg
v029,Slow Bridge with props,bridge,"[1, 2]",low,8,A low prenatal session focusing on bridge alignment and breath.,https://www.youtube.com/watch?v=tsLuz2i3ViQ,https://img.youtube.com/vi/tsLuz2i3ViQ/hqdefault.jpg
v030,Calm Seated Forward Bend flow,seated-forward-bend,"[1, 2, 3]",low,12,A low prenatal session focusing on seated forward bend alignment and breath.,https://www.youtube.com/watch?v=MhS0VEeuB5I,https://img.youtube.com/vi/MhS0VEeuB5I/hqdefault.jpg
v031,Breath-led Child Pose,child-pose,"[1, 2, 3]",low,15,A low prenatal session focusing on child pose alignment and breath.,https://www.youtube.com/watch?v=lEftxA0enXI,https://img.youtube.com/vi/lEftxA0enXI/hqdefault.jpg
v032,Calm Seated Forward Bend flow,seated-forward-bend,"[1, 2, 3]",low,15,A low prenatal session focusing on seated forward bend alignment and breath.,https://www.youtube.com/watch?v=IIeIf0CgHvE,https://img.youtube.com/vi/IIeIf0CgHvE/hqdefault.jpg
v033,Calm Downward Dog flow,downward-dog,"[1, 2, 3]",medium,15,A medium prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=IG2Oc0jE0xo,https://img.youtube.com/vi/IG2Oc0jE0xo/hqdefault.jpg
v034,Breath-led Supine Twist,supine-twist,"[1, 2]",medium,12,A medium prenatal session focusing on supine twist alignment and breath.,https://www.youtube.com/watch?v=2dDJbfzo2sc,https://img.youtube.com/vi/2dDJbfzo2sc/hqdefault.jpg
v035,Calm Downward Dog flow,downward-dog,"[1, 2, 3]",low,8,A low prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=wgLQdJXd_Yc,https://img.youtube.com/vi/wgLQdJXd_Yc/hqdefault.jpg
v036,Calm Child Pose flow,child-pose,"[1, 2, 3]",low,20,A low prenatal session focusing on child pose alignment and breath.,https://www.youtube.com/watch?v=4NwQKXpWN_A,https://img.youtube.com/vi/4NwQKXpWN_A/hqdefault.jpg
v037,Breath-led Warrior 1,warrior-1,"[1, 2, 3]",low,18,A low prenatal session focusing on warrior 1 alignment and breath.,https://www.youtube.com/watch?v=_GFkKV9MCyk,https://img.youtube.com/vi/_GFkKV9MCyk/hqdefault.jpg
v038,Supported Child Pose practice,child-pose,"[1, 2, 3]",medium,8,A medium prenatal session focusing on child pose alignment and breath.,https://www.youtube.com/watch?v=tsLuz2i3ViQ,https://img.youtube.com/vi/tsLuz2i3ViQ/hqdefault.jpg
v039,Slow Child Pose with props,child-pose,"[1, 2, 3]",medium,12,A medium prenatal session focusing on child pose alignment and breath.,https://www.youtube.com/watch?v=MhS0VEeuB5I,https://img.youtube.com/vi/MhS0VEeuB5I/hqdefault.jpg
v040,Calm Pigeon flow,pigeon,"[1, 2, 3]",medium,20,A medium prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=lEftxA0enXI,https://img.youtube.com/vi/lEftxA0enXI/hqdefault.jpg
v041,Breath-led Supine Twist,supine-twist,"[1, 2]",low,20,A low prenatal session focusing on supine twist alignment and breath.,https://www.youtube.com/watch?v=IIeIf0CgHvE,https://img.youtube.com/vi/IIeIf0CgHvE/hqdefault.jpg
v042,Breath-led Supine Twist,supine-twist,"[1, 2]",medium,15,A medium prenatal session focusing on supine twist alignment and breath.,https://www.youtube.com/watch?v=IG2Oc0jE0xo,https://img.youtube.com/vi/IG2Oc0jE0xo/hqdefault.jpg
v043,Breath-led Downward Dog,downward-dog,"[1, 2, 3]",low,20,A low prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=2dDJbfzo2sc,https://img.youtube.com/vi/2dDJbfzo2sc/hqdefault.jpg
v044,Calm Downward Dog flow,downward-dog,"[1, 2, 3]",low,8,A low prenatal session focusing on downward dog alignment and breath.,https://www.youtube.com/watch?v=wgLQdJXd_Yc,https://img.youtube.com/vi/wgLQdJXd_Yc/hqdefault.jpg
v045,Calm Warrior 1 flow,warrior-1,"[1, 2, 3]",medium,8,A medium prenatal session focusing on warrior 1 alignment and breath.,https://www.youtube.com/watch?v=4NwQKXpWN_A,https://img.youtube.com/vi/4NwQKXpWN_A/hqdefault.jpg
v046,Gentle Bridge for stability,bridge,"[1, 2]",low,8,A low prenatal session focusing on bridge alignment and breath.,https://www.youtube.com/watch?v=_GFkKV9MCyk,https://img.youtube.com/vi/_GFkKV9MCyk/hqdefault.jpg
v047,Slow Pigeon with props,pigeon,"[1, 2, 3]",low,8,A low prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=tsLuz2i3ViQ,https://img.youtube.com/vi/tsLuz2i3ViQ/hqdefault.jpg
v048,Gentle Bridge for stability,bridge,"[1, 2]",low,10,A low prenatal session focusing on bridge alignment and breath.,https://www.youtube.com/watch?v=MhS0VEeuB5I,https://img.youtube.com/vi/MhS0VEeuB5I/hqdefault.jpg
v049,Calm Pigeon flow,pigeon,"[1, 2, 3]",medium,20,A medium prenatal session focusing on pigeon alignment and breath.,https://www.youtube.com/watch?v=lEftxA0enXI,https://img.youtube.com/vi/lEftxA0enXI/hqdefault.jpg
v050,Slow Warrior 2 with props,warrior-2,"[1, 2, 3]",medium,12,A medium prenatal session focusing on warrior 2 alignment and breath.,https://www.youtube.com/watch?v=IIeIf0CgHvE,https://img.youtube.com/vi/IIeIf0CgHvE/hqdefault.jpg
